grafana  | Grafana server is running with elevated privileges. This is not recommended
grafana  | logger=migrator t=2025-01-06T19:38:07.179563438Z level=info msg="Migration successfully executed" id="create dashboard_tag table" duration=314.97µs
grafana  | logger=migrator t=2025-01-06T19:38:07.181749265Z level=info msg="Executing migration" id="add unique index dashboard_tag.dasboard_id_term"
grafana  | logger=migrator t=2025-01-06T19:38:07.182142581Z level=info msg="Migration successfully executed" id="add unique index dashboard_tag.dasboard_id_term" duration=393.002µs
grafana  | logger=migrator t=2025-01-06T19:38:07.183972231Z level=info msg="Executing migration" id="drop index UQE_dashboard_tag_dashboard_id_term - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.184307583Z level=info msg="Migration successfully executed" id="drop index UQE_dashboard_tag_dashboard_id_term - v1" duration=335.296µs
grafana  | logger=migrator t=2025-01-06T19:38:07.18842507Z level=info msg="Executing migration" id="Rename table dashboard to dashboard_v1 - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.190948282Z level=info msg="Migration successfully executed" id="Rename table dashboard to dashboard_v1 - v1" duration=2.522867ms
grafana  | logger=migrator t=2025-01-06T19:38:07.194971718Z level=info msg="Executing migration" id="create dashboard v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.195357605Z level=info msg="Migration successfully executed" id="create dashboard v2" duration=385.975µs
grafana  | logger=migrator t=2025-01-06T19:38:07.197178411Z level=info msg="Executing migration" id="create index IDX_dashboard_org_id - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.197548214Z level=info msg="Migration successfully executed" id="create index IDX_dashboard_org_id - v2" duration=369.794µs
grafana  | logger=migrator t=2025-01-06T19:38:07.200396064Z level=info msg="Executing migration" id="create index UQE_dashboard_org_id_slug - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.20082664Z level=info msg="Migration successfully executed" id="create index UQE_dashboard_org_id_slug - v2" duration=430.265µs
grafana  | logger=migrator t=2025-01-06T19:38:07.203318109Z level=info msg="Executing migration" id="copy dashboard v1 to v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.203517111Z level=info msg="Migration successfully executed" id="copy dashboard v1 to v2" duration=198.887µs
grafana  | logger=migrator t=2025-01-06T19:38:07.205791638Z level=info msg="Executing migration" id="drop table dashboard_v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.206280125Z level=info msg="Migration successfully executed" id="drop table dashboard_v1" duration=488.217µs
grafana  | logger=migrator t=2025-01-06T19:38:07.211141896Z level=info msg="Executing migration" id="alter dashboard.data to mediumtext v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.2111977Z level=info msg="Migration successfully executed" id="alter dashboard.data to mediumtext v1" duration=56.435µs
grafana  | logger=migrator t=2025-01-06T19:38:07.219418395Z level=info msg="Executing migration" id="Add column updated_by in dashboard - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.220218505Z level=info msg="Migration successfully executed" id="Add column updated_by in dashboard - v2" duration=800.525µs
grafana  | logger=migrator t=2025-01-06T19:38:07.228048932Z level=info msg="Executing migration" id="Add column created_by in dashboard - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.229248467Z level=info msg="Migration successfully executed" id="Add column created_by in dashboard - v2" duration=1.199464ms
grafana  | logger=migrator t=2025-01-06T19:38:07.232127816Z level=info msg="Executing migration" id="Add column gnetId in dashboard"
grafana  | logger=migrator t=2025-01-06T19:38:07.232887288Z level=info msg="Migration successfully executed" id="Add column gnetId in dashboard" duration=759.139µs
grafana  | logger=migrator t=2025-01-06T19:38:07.235973951Z level=info msg="Executing migration" id="Add index for gnetId in dashboard"
grafana  | logger=migrator t=2025-01-06T19:38:07.23633293Z level=info msg="Migration successfully executed" id="Add index for gnetId in dashboard" duration=358.844µs
grafana  | logger=migrator t=2025-01-06T19:38:07.238843063Z level=info msg="Executing migration" id="Add column plugin_id in dashboard"
grafana  | logger=migrator t=2025-01-06T19:38:07.239635954Z level=info msg="Migration successfully executed" id="Add column plugin_id in dashboard" duration=792.667µs
